Attributes,Adj Close,Close,High,Low,Open,Volume
Symbols,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,,
2020-05-26,8835.052734,8835.052734,8991.967773,8757.293945,8909.585938,29584186947.0
2020-05-27,9181.017578,9181.017578,9203.320313,8834.157227,8837.380859,32740536902.0
2020-05-28,9525.750977,9525.750977,9546.319336,9148.457031,9184.945313,34367073114.0
2020-05-29,9439.124023,9439.124023,9573.666992,9379.338867,9528.355469,32896642044.0
2020-05-30,9700.414063,9700.414063,9704.030273,9366.729492,9438.914063,32722975141.0
2020-05-31,9461.058594,9461.058594,9700.34375,9432.296875,9700.105469,27773290299.0
2020-06-01,10167.268555,10167.268555,10199.56543,9450.899414,9463.605469,35198901068.0
2020-06-02,9529.803711,9529.803711,10182.34082,9460.571289,10162.973633,39137252109.0
2020-06-03,9656.717773,9656.717773,9682.859375,9471.84668,9533.760742,25007459262.0
2020-06-04,9800.636719,9800.636719,9887.610352,9525.24707,9655.854492,25921805072.0
2020-06-05,9665.533203,9665.533203,9869.237305,9663.216797,9800.21582,23509628646.0
2020-06-06,9653.679688,9653.679688,9773.431641,9591.024414,9664.904297,20438419222.0
2020-06-07,9758.852539,9758.852539,9768.498047,9458.150391,9653.00293,25015250846.0
2020-06-08,9771.489258,9771.489258,9782.306641,9675.885742,9760.063477,21486346312.0
2020-06-09,9795.700195,9795.700195,9836.369141,9664.719727,9774.360352,23717842783.0
2020-06-10,9870.094727,9870.094727,9908.896484,9728.291016,9794.119141,25706567601.0
2020-06-11,9321.78125,9321.78125,9938.297852,9263.069336,9870.078125,30247143440.0
2020-06-12,9480.84375,9480.84375,9540.46582,9285.851563,9320.69043,22610564515.0
2020-06-13,9475.277344,9475.277344,9493.211914,9396.009766,9480.735352,17564322315.0
2020-06-14,9386.788086,9386.788086,9482.270508,9347.59375,9477.553711,18991732746.0
2020-06-15,9450.702148,9450.702148,9504.860352,8990.175781,9386.035156,26699704768.0
2020-06-16,9538.024414,9538.024414,9579.430664,9400.445313,9454.266602,21565537209.0
2020-06-17,9480.254883,9480.254883,9540.422852,9327.339844,9533.78418,20177709879.0
2020-06-18,9411.84082,9411.84082,9482.782227,9328.395508,9481.567383,17770083003.0
2020-06-19,9288.018555,9288.018555,9440.875977,9274.295898,9410.293945,19632223107.0
2020-06-20,9332.34082,9332.34082,9394.97168,9247.379883,9290.959961,17130541557.0
2020-06-21,9303.629883,9303.629883,9401.107422,9300.430664,9330.926758,15324301169.0
2020-06-22,9648.717773,9648.717773,9655.073242,9296.87207,9300.915039,21104009514.0
2020-06-23,9629.658203,9629.658203,9670.541016,9547.24707,9644.076172,17006433272.0
2020-06-24,9313.610352,9313.610352,9680.367188,9278.233398,9632.149414,18961716076.0
2020-06-25,9264.813477,9264.813477,9340.161133,9095.324219,9314.126953,18616048626.0
2020-06-26,9162.917969,9162.917969,9310.516602,9101.738281,9260.995117,18341465837.0
2020-06-27,9045.390625,9045.390625,9207.810547,8998.216797,9167.824219,17273093144.0
2020-06-28,9143.582031,9143.582031,9197.546875,8975.525391,9048.460938,14560870760.0
2020-06-29,9190.854492,9190.854492,9237.573242,9041.875977,9140.029297,16460547078.0
2020-06-30,9137.993164,9137.993164,9217.835938,9084.837891,9185.581055,15735797744.0
2020-07-01,9228.325195,9228.325195,9309.754883,9104.735352,9145.985352,15971550355.0
2020-07-02,9123.410156,9123.410156,9274.962891,9036.623047,9231.139648,16338916796.0
2020-07-03,9087.303711,9087.303711,9202.344727,9058.794922,9124.842773,13078970999.0
2020-07-04,9132.488281,9132.488281,9183.295898,9053.629883,9084.233398,12290528515.0
2020-07-05,9073.942383,9073.942383,9162.183594,8977.015625,9126.09082,12903406143.0
2020-07-06,9375.474609,9375.474609,9375.474609,9058.664063,9072.849609,17889263252.0
2020-07-07,9252.277344,9252.277344,9360.617188,9201.81543,9349.161133,13839652595.0
2020-07-08,9428.333008,9428.333008,9450.335938,9249.5,9253.020508,19702359883.0
2020-07-09,9277.967773,9277.967773,9431.378906,9234.999023,9427.994141,18000702524.0
2020-07-10,9278.807617,9278.807617,9287.47168,9118.001953,9273.357422,16860035605.0
2020-07-11,9240.34668,9240.34668,9293.532227,9199.485352,9277.511719,13249910444.0
2020-07-12,9276.5,9276.5,9319.418945,9197.450195,9241.054688,14452361907.0
2020-07-13,9243.614258,9243.614258,9306.405273,9224.292969,9277.205078,17519821266.0
2020-07-14,9243.213867,9243.213867,9283.841797,9171.661133,9238.703125,18085038362.0
2020-07-15,9192.836914,9192.836914,9275.325195,9171.933594,9241.897461,15844731575.0
2020-07-16,9132.227539,9132.227539,9214.3125,9088.947266,9191.980469,15713967523.0
2020-07-17,9151.392578,9151.392578,9182.253906,9089.202148,9131.8125,13944570749.0
2020-07-18,9159.040039,9159.040039,9230.983398,9100.824219,9151.183594,12252601475.0
